date,start_time,end_time,district,affected_area,reason
2024-01-20,06:00,08:00,Chitwan,,synthetic
2024-01-21,09:00,12:00,Kathmandu,,synthetic
2024-01-21,13:00,14:00,Bhaktapur,,synthetic
2024-01-22,08:00,11:00,Kathmandu,,synthetic
2024-01-22,10:00,11:00,Kathmandu,,synthetic
2024-01-22,11:00,12:00,Nuwakot,,synthetic
2024-01-23,12:00,15:00,Nuwakot,,synthetic
2024-01-23,15:00,17:00,Lalitpur,,synthetic
2024-01-23,20:00,23:00,Bhaktapur,,synthetic
2024-01-24,13:00,14:00,Kathmandu,,synthetic
2024-01-24,06:00,08:00,Bhaktapur,,synthetic
2024-01-25,13:00,14:00,Chitwan,,synthetic
2024-01-26,13:00,14:00,Kathmandu,,synthetic
2024-01-26,16:00,17:00,Kathmandu,,synthetic
2024-01-26,14:00,17:00,Lalitpur,,synthetic
2024-01-27,10:00,13:00,Chitwan,,synthetic
2024-01-28,21:00,22:00,Chitwan,,synthetic
2024-01-28,19:00,20:00,Nuwakot,,synthetic
2024-01-28,19:00,21:00,Kathmandu,,synthetic
2024-01-29,07:00,10:00,Nuwakot,,synthetic
2024-01-29,07:00,09:00,Kathmandu,,synthetic
2024-01-30,13:00,14:00,Kathmandu,,synthetic
2024-01-30,20:00,21:00,Chitwan,,synthetic
2024-01-31,20:00,21:00,Bhaktapur,,synthetic
2024-02-01,09:00,10:00,Nuwakot,,synthetic
2024-02-02,08:00,11:00,Kathmandu,,synthetic
2024-02-02,11:00,13:00,Lalitpur,,synthetic
2024-02-02,12:00,15:00,Nuwakot,,synthetic
2024-02-03,18:00,19:00,Lalitpur,,synthetic
2024-02-04,20:00,21:00,Bhaktapur,,synthetic
2024-02-04,21:00,22:00,Chitwan,,synthetic
2024-02-05,07:00,09:00,Lalitpur,,synthetic
2024-02-05,07:00,10:00,Chitwan,,synthetic
2024-02-06,21:00,23:00,Kathmandu,,synthetic
2024-02-07,07:00,10:00,Lalitpur,,synthetic
2024-02-07,11:00,12:00,Kathmandu,,synthetic
2024-02-07,13:00,15:00,Kathmandu,,synthetic
2024-02-08,07:00,09:00,Lalitpur,,synthetic
2024-02-08,16:00,19:00,Nuwakot,,synthetic
2024-02-08,16:00,17:00,Lalitpur,,synthetic
2024-02-09,15:00,17:00,Lalitpur,,synthetic
2024-02-09,06:00,08:00,Kathmandu,,synthetic
2024-02-10,08:00,10:00,Kathmandu,,synthetic
2024-02-10,14:00,15:00,Chitwan,,synthetic
2024-02-10,08:00,11:00,Bhaktapur,,synthetic
2024-02-11,11:00,13:00,Bhaktapur,,synthetic
2024-02-11,15:00,17:00,Chitwan,,synthetic
2024-02-12,06:00,09:00,Chitwan,,synthetic
2024-02-12,15:00,18:00,Chitwan,,synthetic
2024-02-12,10:00,11:00,Kathmandu,,synthetic
2024-02-13,10:00,11:00,Chitwan,,synthetic
2024-02-14,16:00,17:00,Lalitpur,,synthetic
2024-02-14,21:00,22:00,Bhaktapur,,synthetic
2024-02-14,08:00,10:00,Kathmandu,,synthetic
2024-02-15,06:00,08:00,Kathmandu,,synthetic
2024-02-15,14:00,15:00,Lalitpur,,synthetic
2024-02-16,19:00,21:00,Chitwan,,synthetic
2024-02-16,08:00,11:00,Kathmandu,,synthetic
2024-02-17,07:00,10:00,Lalitpur,,synthetic
2024-02-17,10:00,12:00,Chitwan,,synthetic
2024-02-17,15:00,17:00,Kathmandu,,synthetic
2024-02-18,12:00,15:00,Bhaktapur,,synthetic
2024-02-19,17:00,20:00,Kathmandu,,synthetic
2024-02-19,10:00,13:00,Nuwakot,,synthetic
2024-02-19,11:00,14:00,Lalitpur,,synthetic
2024-02-20,06:00,07:00,Nuwakot,,synthetic
2024-02-21,13:00,14:00,Nuwakot,,synthetic
2024-02-21,18:00,21:00,Kathmandu,,synthetic
2024-02-22,12:00,15:00,Lalitpur,,synthetic
2024-02-22,17:00,18:00,Nuwakot,,synthetic
2024-02-23,06:00,09:00,Lalitpur,,synthetic
2024-02-24,14:00,17:00,Bhaktapur,,synthetic
2024-02-24,17:00,19:00,Bhaktapur,,synthetic
2024-02-25,16:00,19:00,Chitwan,,synthetic
2024-02-25,14:00,15:00,Kathmandu,,synthetic
2024-02-26,09:00,11:00,Kathmandu,,synthetic
2024-02-26,16:00,18:00,Bhaktapur,,synthetic
2024-02-27,18:00,21:00,Kathmandu,,synthetic
2024-02-27,14:00,15:00,Lalitpur,,synthetic
2024-02-27,06:00,08:00,Nuwakot,,synthetic
2024-02-28,17:00,19:00,Lalitpur,,synthetic
2024-02-28,16:00,19:00,Bhaktapur,,synthetic
2024-02-28,15:00,17:00,Kathmandu,,synthetic
2024-02-29,16:00,18:00,Nuwakot,,synthetic
2024-02-29,10:00,11:00,Bhaktapur,,synthetic
2024-02-29,11:00,13:00,Nuwakot,,synthetic
2024-03-01,06:00,07:00,Nuwakot,,synthetic
2024-03-01,19:00,22:00,Lalitpur,,synthetic
2024-03-02,20:00,22:00,Bhaktapur,,synthetic
2024-03-02,21:00,00:00,Lalitpur,,synthetic
2024-03-02,08:00,09:00,Lalitpur,,synthetic
2024-03-03,16:00,17:00,Chitwan,,synthetic
2024-03-03,15:00,16:00,Lalitpur,,synthetic
2024-03-03,10:00,11:00,Lalitpur,,synthetic
2024-03-04,08:00,10:00,Nuwakot,,synthetic
2024-03-05,12:00,15:00,Chitwan,,synthetic
2024-03-05,21:00,23:00,Nuwakot,,synthetic
2024-03-05,06:00,09:00,Lalitpur,,synthetic
2024-03-06,13:00,14:00,Nuwakot,,synthetic
2024-03-07,20:00,21:00,Chitwan,,synthetic
2024-03-07,09:00,11:00,Lalitpur,,synthetic
2024-03-07,16:00,19:00,Nuwakot,,synthetic
2024-03-08,19:00,22:00,Chitwan,,synthetic
2024-03-08,20:00,23:00,Chitwan,,synthetic
2024-03-09,20:00,21:00,Nuwakot,,synthetic
2024-03-09,14:00,17:00,Lalitpur,,synthetic
2024-03-09,21:00,23:00,Chitwan,,synthetic
2024-03-10,08:00,11:00,Nuwakot,,synthetic
2024-03-10,14:00,16:00,Lalitpur,,synthetic
2024-03-11,10:00,11:00,Kathmandu,,synthetic
2024-03-11,10:00,13:00,Nuwakot,,synthetic
2024-03-11,19:00,21:00,Kathmandu,,synthetic
2024-03-12,19:00,20:00,Nuwakot,,synthetic
2024-03-12,18:00,21:00,Nuwakot,,synthetic
2024-03-12,06:00,09:00,Chitwan,,synthetic
2024-03-13,21:00,22:00,Nuwakot,,synthetic
2024-03-13,15:00,18:00,Bhaktapur,,synthetic
2024-03-13,13:00,15:00,Nuwakot,,synthetic
2024-03-14,21:00,22:00,Nuwakot,,synthetic
2024-03-14,18:00,21:00,Bhaktapur,,synthetic
2024-03-15,06:00,09:00,Lalitpur,,synthetic
2024-03-15,06:00,07:00,Chitwan,,synthetic
2024-03-16,20:00,21:00,Lalitpur,,synthetic
2024-03-16,18:00,20:00,Bhaktapur,,synthetic
2024-03-17,16:00,19:00,Bhaktapur,,synthetic
2024-03-17,14:00,17:00,Nuwakot,,synthetic
2024-03-18,08:00,10:00,Bhaktapur,,synthetic
2024-03-18,07:00,11:00,Chitwan,,synthetic
2024-03-19,08:00,11:00,Lalitpur,,synthetic
2024-03-19,06:00,09:00,Kathmandu,,synthetic
2024-03-20,10:00,11:00,Kathmandu,,synthetic
2024-03-21,12:00,14:00,Kathmandu,,synthetic
2024-03-21,17:00,18:00,Bhaktapur,,synthetic
2024-03-22,11:00,14:00,Kathmandu,,synthetic
2024-03-22,06:00,09:00,Kathmandu,,synthetic
2024-03-22,18:00,20:00,Chitwan,,synthetic
2024-03-23,08:00,10:00,Lalitpur,,synthetic
2024-03-23,09:00,12:00,Lalitpur,,synthetic
2024-03-23,09:00,12:00,Bhaktapur,,synthetic
2024-03-24,17:00,19:00,Kathmandu,,synthetic
2024-03-24,08:00,10:00,Bhaktapur,,synthetic
2024-03-24,06:00,09:00,Bhaktapur,,synthetic
2024-03-25,19:00,22:00,Kathmandu,,synthetic
2024-03-25,10:00,12:00,Nuwakot,,synthetic
2024-03-26,14:00,16:00,Chitwan,,synthetic
2024-03-26,21:00,23:00,Chitwan,,synthetic
2024-03-26,14:00,16:00,Chitwan,,synthetic
2024-03-27,14:00,17:00,Kathmandu,,synthetic
2024-03-28,18:00,20:00,Nuwakot,,synthetic
2024-03-29,11:00,13:00,Bhaktapur,,synthetic
2024-03-29,14:00,16:00,Bhaktapur,,synthetic
2024-03-30,06:00,08:00,Bhaktapur,,synthetic
2024-03-30,08:00,09:00,Lalitpur,,synthetic
2024-03-30,21:00,23:00,Nuwakot,,synthetic
2024-03-31,21:00,23:00,Nuwakot,,synthetic
2024-04-01,15:00,16:00,Kathmandu,,synthetic
2024-04-02,15:00,18:00,Lalitpur,,synthetic
2024-04-02,21:00,23:00,Bhaktapur,,synthetic
2024-04-02,19:00,23:00,Bhaktapur,,synthetic
2024-04-03,17:00,20:00,Bhaktapur,,synthetic
2024-04-03,15:00,16:00,Bhaktapur,,synthetic
2024-04-03,12:00,13:00,Kathmandu,,synthetic
2024-04-04,11:00,12:00,Chitwan,,synthetic
2024-04-04,14:00,17:00,Nuwakot,,synthetic
2024-04-04,15:00,18:00,Chitwan,,synthetic
2024-04-05,13:00,15:00,Bhaktapur,,synthetic
2024-04-06,10:00,11:00,Kathmandu,,synthetic
2024-04-06,15:00,18:00,Kathmandu,,synthetic
2024-04-07,09:00,12:00,Nuwakot,,synthetic
2024-04-08,21:00,23:00,Bhaktapur,,synthetic
2024-04-08,11:00,14:00,Bhaktapur,,synthetic
2024-04-08,21:00,22:00,Bhaktapur,,synthetic
2024-04-09,21:00,22:00,Nuwakot,,synthetic
2024-04-10,10:00,11:00,Kathmandu,,synthetic
2024-04-10,15:00,16:00,Chitwan,,synthetic
2024-04-10,09:00,11:00,Lalitpur,,synthetic
2024-04-11,13:00,16:00,Chitwan,,synthetic
2024-04-11,20:00,23:00,Nuwakot,,synthetic
2024-04-12,19:00,20:00,Chitwan,,synthetic
2024-04-12,07:00,09:00,Chitwan,,synthetic
2024-04-13,12:00,14:00,Kathmandu,,synthetic
2024-04-13,08:00,09:00,Bhaktapur,,synthetic
2024-04-13,08:00,09:00,Lalitpur,,synthetic
2024-04-14,21:00,22:00,Nuwakot,,synthetic
2024-04-14,15:00,18:00,Lalitpur,,synthetic
2024-04-15,08:00,11:00,Nuwakot,,synthetic
2024-04-15,12:00,14:00,Bhaktapur,,synthetic
2024-04-15,13:00,15:00,Chitwan,,synthetic
2024-04-16,08:00,09:00,Lalitpur,,synthetic
2024-04-16,15:00,17:00,Bhaktapur,,synthetic
2024-04-17,18:00,21:00,Bhaktapur,,synthetic
2024-04-17,21:00,23:00,Chitwan,,synthetic
2024-04-18,19:00,22:00,Kathmandu,,synthetic
2024-04-18,14:00,15:00,Chitwan,,synthetic
2024-04-18,06:00,10:00,Lalitpur,,synthetic
2024-04-19,07:00,10:00,Bhaktapur,,synthetic
2024-04-19,21:00,23:00,Lalitpur,,synthetic
2024-04-19,14:00,15:00,Nuwakot,,synthetic
2024-04-20,21:00,00:00,Nuwakot,,synthetic
2024-04-20,17:00,19:00,Nuwakot,,synthetic
2024-04-20,09:00,12:00,Bhaktapur,,synthetic
2024-04-21,21:00,22:00,Nuwakot,,synthetic
2024-04-21,07:00,09:00,Nuwakot,,synthetic
2024-04-22,16:00,17:00,Bhaktapur,,synthetic
2024-04-22,06:00,09:00,Nuwakot,,synthetic
2024-04-23,19:00,20:00,Nuwakot,,synthetic
2024-04-23,17:00,19:00,Chitwan,,synthetic
2024-04-23,20:00,23:00,Nuwakot,,synthetic
2024-04-24,10:00,13:00,Bhaktapur,,synthetic
2024-04-25,09:00,10:00,Nuwakot,,synthetic
2024-04-25,13:00,16:00,Chitwan,,synthetic
2024-04-26,06:00,08:00,Chitwan,,synthetic
2024-04-26,13:00,17:00,Kathmandu,,synthetic
2024-04-27,09:00,11:00,Nuwakot,,synthetic
2024-04-28,15:00,17:00,Nuwakot,,synthetic
2024-04-29,21:00,00:00,Nuwakot,,synthetic
2024-04-29,20:00,22:00,Lalitpur,,synthetic
2024-04-30,10:00,13:00,Lalitpur,,synthetic
2024-04-30,19:00,21:00,Bhaktapur,,synthetic
2024-05-01,06:00,07:00,Bhaktapur,,synthetic
2024-05-01,21:00,00:00,Bhaktapur,,synthetic
2024-05-01,21:00,23:00,Nuwakot,,synthetic
2024-05-02,18:00,20:00,Chitwan,,synthetic
2024-05-02,12:00,15:00,Bhaktapur,,synthetic
2024-05-02,18:00,19:00,Lalitpur,,synthetic
2024-05-03,16:00,19:00,Kathmandu,,synthetic
2024-05-03,18:00,22:00,Nuwakot,,synthetic
2024-05-04,21:00,00:00,Lalitpur,,synthetic
2024-05-04,16:00,19:00,Lalitpur,,synthetic
2024-05-04,09:00,11:00,Nuwakot,,synthetic
2024-05-05,10:00,12:00,Kathmandu,,synthetic
2024-05-05,08:00,10:00,Lalitpur,,synthetic
2024-05-06,18:00,20:00,Bhaktapur,,synthetic
2024-05-06,18:00,21:00,Bhaktapur,,synthetic
2024-05-07,07:00,09:00,Nuwakot,,synthetic
2024-05-07,15:00,19:00,Lalitpur,,synthetic
2024-05-07,19:00,22:00,Kathmandu,,synthetic
2024-05-08,20:00,21:00,Kathmandu,,synthetic
2024-05-08,06:00,07:00,Bhaktapur,,synthetic
2024-05-08,15:00,17:00,Kathmandu,,synthetic
2024-05-09,13:00,15:00,Lalitpur,,synthetic
2024-05-09,11:00,12:00,Chitwan,,synthetic
2024-05-10,18:00,20:00,Chitwan,,synthetic
2024-05-11,10:00,11:00,Nuwakot,,synthetic
2024-05-12,20:00,21:00,Bhaktapur,,synthetic
2024-05-12,20:00,23:00,Kathmandu,,synthetic
2024-05-12,11:00,12:00,Chitwan,,synthetic
2024-05-13,15:00,17:00,Chitwan,,synthetic
2024-05-13,14:00,16:00,Nuwakot,,synthetic
2024-05-14,18:00,21:00,Lalitpur,,synthetic
2024-05-14,13:00,15:00,Kathmandu,,synthetic
2024-05-15,15:00,19:00,Chitwan,,synthetic
2024-05-15,06:00,09:00,Bhaktapur,,synthetic
2024-05-16,14:00,15:00,Nuwakot,,synthetic
2024-05-16,21:00,00:00,Kathmandu,,synthetic
2024-05-16,13:00,15:00,Bhaktapur,,synthetic
2024-05-17,12:00,14:00,Lalitpur,,synthetic
2024-05-17,09:00,12:00,Lalitpur,,synthetic
2024-05-18,15:00,18:00,Kathmandu,,synthetic
2024-05-18,17:00,20:00,Kathmandu,,synthetic
2024-05-18,15:00,17:00,Kathmandu,,synthetic
2024-05-19,12:00,13:00,Lalitpur,,synthetic
2024-05-19,17:00,19:00,Chitwan,,synthetic
2024-05-20,14:00,17:00,Lalitpur,,synthetic
2024-05-20,15:00,18:00,Nuwakot,,synthetic
2024-05-21,20:00,23:00,Kathmandu,,synthetic
2024-05-21,13:00,16:00,Lalitpur,,synthetic
2024-05-22,17:00,18:00,Nuwakot,,synthetic
2024-05-22,06:00,07:00,Nuwakot,,synthetic
2024-05-22,20:00,22:00,Kathmandu,,synthetic
2024-05-23,18:00,21:00,Bhaktapur,,synthetic
2024-05-23,09:00,12:00,Bhaktapur,,synthetic
2024-05-23,06:00,08:00,Nuwakot,,synthetic
2024-05-24,13:00,15:00,Bhaktapur,,synthetic
2024-05-24,15:00,17:00,Nuwakot,,synthetic
2024-05-24,10:00,11:00,Kathmandu,,synthetic
2024-05-25,21:00,22:00,Bhaktapur,,synthetic
2024-05-26,10:00,12:00,Chitwan,,synthetic
2024-05-27,19:00,21:00,Chitwan,,synthetic
2024-05-27,19:00,22:00,Lalitpur,,synthetic
2024-05-28,19:00,22:00,Chitwan,,synthetic
2024-05-28,07:00,10:00,Bhaktapur,,synthetic
2024-05-29,20:00,23:00,Nuwakot,,synthetic
2024-05-30,17:00,19:00,Kathmandu,,synthetic
2024-05-30,07:00,09:00,Bhaktapur,,synthetic
2024-05-31,20:00,21:00,Kathmandu,,synthetic
2024-06-01,06:00,07:00,Chitwan,,synthetic
2024-06-02,10:00,13:00,Lalitpur,,synthetic
2024-06-02,08:00,11:00,Lalitpur,,synthetic
2024-06-03,12:00,15:00,Lalitpur,,synthetic
2024-06-03,16:00,19:00,Lalitpur,,synthetic
2024-06-03,06:00,07:00,Chitwan,,synthetic
2024-06-04,14:00,17:00,Lalitpur,,synthetic
2024-06-05,10:00,11:00,Kathmandu,,synthetic
2024-06-06,16:00,17:00,Chitwan,,synthetic
2024-06-07,10:00,13:00,Kathmandu,,synthetic
2024-06-07,09:00,12:00,Chitwan,,synthetic
2024-06-08,17:00,19:00,Nuwakot,,synthetic
2024-06-08,20:00,22:00,Kathmandu,,synthetic
2024-06-09,15:00,17:00,Kathmandu,,synthetic
2024-06-09,07:00,11:00,Kathmandu,,synthetic
2024-06-09,19:00,22:00,Nuwakot,,synthetic
2024-06-10,08:00,11:00,Nuwakot,,synthetic
2024-06-10,10:00,11:00,Bhaktapur,,synthetic
2024-06-11,16:00,18:00,Chitwan,,synthetic
2024-06-11,15:00,17:00,Chitwan,,synthetic
2024-06-12,09:00,12:00,Nuwakot,,synthetic
2024-06-12,12:00,14:00,Kathmandu,,synthetic
2024-06-12,19:00,21:00,Lalitpur,,synthetic
2024-06-13,19:00,22:00,Nuwakot,,synthetic
2024-06-13,19:00,20:00,Bhaktapur,,synthetic
2024-06-14,10:00,13:00,Bhaktapur,,synthetic
2024-06-14,08:00,09:00,Nuwakot,,synthetic
2024-06-15,19:00,20:00,Kathmandu,,synthetic
2024-06-16,10:00,12:00,Bhaktapur,,synthetic
2024-06-16,16:00,19:00,Chitwan,,synthetic
2024-06-16,17:00,20:00,Nuwakot,,synthetic
2024-06-17,15:00,17:00,Kathmandu,,synthetic
2024-06-17,09:00,11:00,Bhaktapur,,synthetic
2024-06-18,21:00,22:00,Lalitpur,,synthetic
2024-06-19,17:00,18:00,Bhaktapur,,synthetic
2024-06-20,13:00,16:00,Chitwan,,synthetic
2024-06-20,06:00,08:00,Chitwan,,synthetic
2024-06-21,06:00,07:00,Bhaktapur,,synthetic
2024-06-21,16:00,18:00,Bhaktapur,,synthetic
2024-06-21,10:00,12:00,Lalitpur,,synthetic
2024-06-22,10:00,13:00,Kathmandu,,synthetic
2024-06-22,08:00,11:00,Kathmandu,,synthetic
2024-06-23,19:00,21:00,Nuwakot,,synthetic
2024-06-24,15:00,18:00,Bhaktapur,,synthetic
2024-06-25,08:00,11:00,Chitwan,,synthetic
2024-06-25,11:00,14:00,Lalitpur,,synthetic
2024-06-25,08:00,09:00,Kathmandu,,synthetic
2024-06-26,21:00,23:00,Nuwakot,,synthetic
2024-06-26,14:00,15:00,Nuwakot,,synthetic
2024-06-26,09:00,11:00,Chitwan,,synthetic
2024-06-27,21:00,23:00,Bhaktapur,,synthetic
2024-06-28,13:00,15:00,Kathmandu,,synthetic
2024-06-28,07:00,08:00,Chitwan,,synthetic
